"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Actinolite","Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","Ca Mg Fe Si O H","","R040063 R040064 R050025 R050336 R060045 R060041 R120010","784","Germany / Austria","1794","Approved|Redefined","Amphibole","amphibole-group 2 Ca","Originally named actynolite:
Kirwan R (1794) 16th species: actynolite, in Elements of Mineralogy, 2nd Edition, Volume 1, Elmsly (London) 167-170","monoclinic","4000","Ca Mg Fe^2+ Si O H","Act"
"Aegirine","NaFe^3+^Si_2_O_6_","NaFe^3+^Si_2_O_6_","Na Fe Si O","","R040054 R050074 R061093 R070125 R070253 R120144 R120167","790","Norway","1835","Approved","Pyroxene","pyroxene","Berzelius J (1835) [Untitled note on aegirine], Neues Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde 1835, 184-185","monoclinic","2613","Na Fe^3+ Si O","Aeg"
"Aegirine-augite","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","Ca Na Fe Mg Si O","","","4919","Russia","1892","Approved|Redefined","Pyroxene","pyroxene","Rosenbusch H (1892) Mineralien des monoklinen Krystallsystems. Gruppe der monoklinen Pyroxene, in Mikroskopische Physiographie der Petrographisch Wichtigen Mineralien, E.Schweizerbart'sche Verlagshandlung (E. Koch) (Stuttgart) 510-539

Redefined:
Morimoto N (1988) Nomenclature of pyroxenes, Mineralogical Magazine 52, 535-550","monoclinic","2680","Ca Na Fe^3+ Mg Fe^2+ Si O","Aeg-Aug"
"Akaganeite","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","Fe Ni O H Cl","IMA1962-004","","811","Japan","1962","Approved|Renamed","Coronadite"," ","Mackay, A L (1962) ß-ferric oxyhydroxide-akaganéite, Mineralogical Magazine 33, 270-280

Chemical formula redefined:
Post J E, Heaney P J, von Dreele R B, Hanson J C (2003) Neutron and temperature-resolved synchrotron X-ray powder diffraction study of akaganéite, American Mineralogist 88, 782-788","monoclinic|tetragonal","2038","Fe^3+ Ni^2+ O H Cl","Akg"
"Åkermanite","Ca_2_MgSi_2_O_7_","Ca_2_MgSi_2_O_7_","Ca Mg Si O","","R061085 R061100","814","Sweden","1884","Grandfathered|Approved","Melilite","melilite","Vogt I H L (1890) Die mineralien der melilithgruppe - nämlich gehlenit, melilith und ein neues tetragonales, nicht Al<sub>2</sub>O<sub>3</sub>-führendes (Ca,Mg)O-silikat (Åkermanit), nebst zwischengliedern, Archiv for Mathematik og Naturvidenskab 13, 310-402","tetragonal","4330","Ca Mg Si O","Åk"
"Akhtenskite","Mn^4+^O_2_","MnO_2_","Mn O","IMA1982-072","","815","Russia","1982","Approved","Ramsdellite"," ","Chukhrov F V, Gorshkov A I, Sivtsov A V, Berezovskaya V V, Dikov Y P, Dubinina G A, Varinov N N (1989) Akhtenskite – The natural analog of ε–MnO<sub>2</sub>, Izvestiya Akademii Nauk SSSR 9, 75-80","hexagonal","63.5","Mn^4+ O","Akh"
"Alabandite","Mn^2+^S^2-^","MnS","Mn S","","R070174","820","Romania / Turkey","1822","Grandfathered|Approved","Rocksalt","galena","Called alabandina sulfurea by Don Andres Manuel del Rio as reported in:
Haüy R J (1822) Manganèse sulfuré, Traité de Minéralogie 4, 268-272

Renamed alabandine:
Beudant F S (1832) Alabandine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 399-400","cubic","4620","Mn^2+ S^2-","Abd"
"Albite","NaAlSi_3_O_8_","Na(AlSi_3_O_8_)","Na Al Si O","","R040068 R040129 R050253 R050402 R060054 R070268 R100169","824","Sweden","1815","Grandfathered|Approved","Feldspar","feldspar","Gahn J G, Berzelius J (1815) Underfökning af nagra i grannskapet af Fahlun funna Fossilier, Afhandlingar i Fysik, Kemi och Mineralogi 4, 148-216 (see page 180)","triclinic","4620","Na Al Si O","Ab"
"Aliettite","Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O","Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O","Ca Mg Si Al O H","","","829","Italy","1968","Approved|Redefined","Corrensite, Clay","smectite","Veniale F, van der Marel H W (1969) Identification of some 1:1 regular interstratified trioctahedral clay minerals, Proceedings of the International Clay Conference, Tokyo 1, 233-244

Redefined:
Bailey S W (1981) A system of nomenclature for regular interstratifications, The Canadian Mineralogist 19, 651-655","","381.5","Ca Mg Si Al O H","Ali"
"Allanite-(Ce)","CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)","CaCe(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca Ce Al Fe Si O H","IMA1987 s.p.","R050043 R060418 R080044 R080092","832","Denmark (Greenland)","1812","Approved|Renamed","Epidote, allanite","epidote","Thomson T (1812) Experiments on allanite, a new mineral from Greenland, Transactions of the Royal Society of Edinburgh 6, 371-386

Name changed from allanite:
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042","monoclinic|unknown","3366","Ca Ce Al Fe^2+ Si O H","Aln-Ce"
