"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Abswurmbachite","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)","Cu Mn O Si","IMA1990-007","","781","Greece","1990","Approved","Braunite","braunite","Reinecke T, Tillmanns E, Bernhardt H J (1991) Abswurmbachite, Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>[O<sub>8</sub>/SiO<sub>4</sub>], a new mineral of the braunite group: natural occurrence, synthesis, and crystal structure, Neues Jahrbuch fur Mineralogie, Abhandlungen 163, 117-143","tetragonal","541","Cu^2+ Mn^3+ O Si","Abs"
"Abuite","CaAl_2_(PO_4_)_2_F_2_","CaAl_2_(PO_4_)_2_F_2_","Ca Al P O F","IMA2014-084","","6382","Japan","2014","Approved","Not in a structural group"," ","Enju S, Uehara S (2017) Abuite, CaAl_2_(PO_4_)_2_F_2_, a new mineral from the Hinomaru-Nago mine, Yamaguchi Prefecture, Japan. Journal of Mineralogical and Petrological Sciences 112, 109-115 ","orthorhombic","","Ca Al P O F","Abu"
"Acanthite","Ag^1+^_2_S^2-^","Ag_2_S","Ag S","","R070578 R080016","782","Czech Republic","1855","Grandfathered|Approved","Acanthite"," ","Kenngott A (1855) Ueber den akanthit, eine neue species in dem geschlechte der silber-glanze, Annalen der Physik und Chemie 95, 462-464","monoclinic","4000","Ag^1+ S^2-","Aca"
"Achávalite","FeSe","FeSe","Fe Se","","","5363","Argentina","1939","Approved|Renamed","Nickeline"," ","Olsacher J (1939) Achavalita, seleniuro de hierro. Nueva especie mineral, Boletin de la Facultad de Ciencias Exactas, Fisicas y Naturales, Universidad Nacional de Cordoba 2, 73-78

Spelling of name changed from achavalite to achávalite:
Hålenius U, Hatert F, Pasero M, Mills S J (2015) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 28. New minerals and nomenclature modifications approved in 2015. Mineralogical Magazine 79, 1859-1864","hexagonal","","Fe Se","Ahv"
"Actinolite","Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","Ca Mg Fe Si O H","","R040063 R040064 R050025 R050336 R060045 R060041 R120010","784","Germany / Austria","1794","Approved|Redefined","Amphibole","amphibole-group 2 Ca","Originally named actynolite:
Kirwan R (1794) 16th species: actynolite, in Elements of Mineralogy, 2nd Edition, Volume 1, Elmsly (London) 167-170","monoclinic","4000","Ca Mg Fe^2+ Si O H","Act"
"Acuminite","SrAlF_4_(OH)·H_2_O","SrAlF_4_(OH)·H_2_O","Sr Al F O H","IMA1986-038","","785","Denmark (Greenland)","1986","Approved","Tikhonenkovite"," ","Pauly H, Petersen O V (1987) Acuminite, a new Sr-fluoride from Ivigtut, South Greenland, Neues Jahrbuch für Mineralogie, Monatshefte 1987, 502-514","monoclinic","1275","Sr Al F O H","Acu"
"Adamsite-(Y)","NaY^3+^(CO_3_)_2_·6H_2_O","NaY(CO_3_)_2_·6H_2_O","Na Y C O H","IMA1999-020","R070360","787","Canada","1999","Approved","Not in a structural group"," ","Grice J D, Gault R A, Roberts A C, Cooper M A (2000) Adamsite-(Y), a new sodium-yttrium carbonate mineral species from Mont Saint-Hilaire, Quebec, The Canadian Mineralogist 38, 1457-1466","triclinic","1742","Na Y^3+ C O H","Ads-Y"
"Adelite","CaMgAs^5+^O_4_(OH)","CaMg(AsO_4_)(OH)","Ca Mg As O H","","R060687","788","Sweden","1891","Grandfathered|Approved","Adelite","adelite-descloizite-adelite subgroup","Sjögren H (1891) Adelit, ett basiskt arseniat från Nordmarken och Långban, Geologiska Föreningens i Stockholm Förhandlingar 13, 781-789","orthorhombic","1890","Ca Mg As^5+ O H","Ade"
"Admontite","MgB_6_O_10_·7H_2_O","MgB_6_O_10_·7H_2_O","Mg B O H","IMA1978-012","","789","Austria","1978","Approved","Not in a structural group"," ","Walenta K (1979) Admontit, ein neues boratmineral aus der gipslägerstiitte schildmauer bei admont in der Steiermark (Österreich), Tschermaks Mineralogische und Petrographische Mitteilungen 26, 69-77

Chemical formula revised:
dal Negro A, Ungaretti L, Basso R (1976) The crystal structure of synthetic hydrated borates: (II) MgO·3B<sub>2</sub>O<sub>3</sub>·7H<sub>2</sub>O, Crystal Structure Communications 5, 433-436","monoclinic","","Mg B O H","Amt"
"Aegirine","NaFe^3+^Si_2_O_6_","NaFe^3+^Si_2_O_6_","Na Fe Si O","","R040054 R050074 R061093 R070125 R070253 R120144 R120167","790","Norway","1835","Approved","Pyroxene","pyroxene","Berzelius J (1835) [Untitled note on aegirine], Neues Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde 1835, 184-185","monoclinic","2613","Na Fe^3+ Si O","Aeg"
"Aegirine-augite","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","Ca Na Fe Mg Si O","","","4919","Russia","1892","Approved|Redefined","Pyroxene","pyroxene","Rosenbusch H (1892) Mineralien des monoklinen Krystallsystems. Gruppe der monoklinen Pyroxene, in Mikroskopische Physiographie der Petrographisch Wichtigen Mineralien, E.Schweizerbart'sche Verlagshandlung (E. Koch) (Stuttgart) 510-539

Redefined:
Morimoto N (1988) Nomenclature of pyroxenes, Mineralogical Magazine 52, 535-550","monoclinic","2680","Ca Na Fe^3+ Mg Fe^2+ Si O","Aeg-Aug"
"Aenigmatite","Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]","Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_]","Na Fe Ti O Si","","R061088 R061089","791","Denmark (Greenland)","1865","Approved","Sapphirine","aenigmatite","Breithaupt A (1865) Mineralogische studien. 29. Kölbingit. Ainigmatit, Berg- und Huttenmannische Zeitung 24, 397-398","triclinic","4567.61","Na Fe^2+ Ti^4+ O Si","Aen"
"Aeschynite-(Ce)","(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Ce,Ca,Fe,Th)(Ti,Nb)_2_(O,OH)_6_","Ce Ca Fe Th Ti Nb O H","IMA1987 s.p.","","793","Russia","1830","Approved|Renamed","Aeschynite","aeschynite","Berzelius J (1830) Mineralogie: Aeschynit, Jahres-Bericht über die Fortschritte der Physischen Wissenschaften 9, 182-209

Name changed from aeschynite:
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042","orthorhombic","1420","Ce^3+ Ca Fe^2+ Th^4+ Ti^4+ Nb^5+ O H","Aes-Ce"
