"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Abramovite","Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_","Pb_2_SnInBiS_7_","Pb Sn In Bi S","IMA2006-016","R070037","5327","Russia","2006","Approved","Not in a structural group"," ","Yudovakaya M A, Trybkin N V, Koporulina E V, Belakovsky D I, Mokhov A V, Kuznetsova M V, Golovanova T I (2007) Abramovite, Pb<sub>2</sub>SnInBiS<sub>7</sub> - the new mineral from fumaroles of Kudryavy Volcano (Kurily Islands), Zapiski Rossiiskogo Mineralogicheskogo Obshchetstva 136(5), 45-51","triclinic","0.04","Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-","Abm"
"Aegirine","NaFe^3+^Si_2_O_6_","NaFe^3+^Si_2_O_6_","Na Fe Si O","","R040054 R050074 R061093 R070125 R070253 R120144 R120167","790","Norway","1835","Approved","Pyroxene","pyroxene","Berzelius J (1835) [Untitled note on aegirine], Neues Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde 1835, 184-185","monoclinic","2613","Na Fe^3+ Si O","Aeg"
"Aegirine-augite","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","Ca Na Fe Mg Si O","","","4919","Russia","1892","Approved|Redefined","Pyroxene","pyroxene","Rosenbusch H (1892) Mineralien des monoklinen Krystallsystems. Gruppe der monoklinen Pyroxene, in Mikroskopische Physiographie der Petrographisch Wichtigen Mineralien, E.Schweizerbart'sche Verlagshandlung (E. Koch) (Stuttgart) 510-539

Redefined:
Morimoto N (1988) Nomenclature of pyroxenes, Mineralogical Magazine 52, 535-550","monoclinic","2680","Ca Na Fe^3+ Mg Fe^2+ Si O","Aeg-Aug"
"Aenigmatite","Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]","Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_]","Na Fe Ti O Si","","R061088 R061089","791","Denmark (Greenland)","1865","Approved","Sapphirine","aenigmatite","Breithaupt A (1865) Mineralogische studien. 29. Kölbingit. Ainigmatit, Berg- und Huttenmannische Zeitung 24, 397-398","triclinic","4567.61","Na Fe^2+ Ti^4+ O Si","Aen"
"Aerinite","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","Ca Na Fe Mg Al Si O H C","","R050610","792","Spain","1876","Approved|Redefined","Not in a structural group"," ","von Lasaulx A (1876) Aërinit, ein neues mineral, Neues Jahrbuch für Mineralogie 1876, 175, 352-358

Re-instated as a valid mineral:
Azambre B, Monchoux P (1988) Précisions minéralogiques sur l'aérinite: nouvelle occurrence à Saint-Pandelon (Landes, France), Bulletin de Minéralogie 111, 39-47 

Chemical formula redefined:
Rius J, Elkaim E, Torrelles X (2004) Structure determination of the blue mineral pigment aerinite from synchrotron powder diffraction data: The solution of an old riddle, European Journal of Mineralogy 16, 127-134

Chemical formula redefined again:
Rius J, Crespi A, Roig A, Melgarejo J C (2009) Crystal-structure refinement of Fe<sup>3+</sup>-rich aerinite from synchrotron powder diffraction and Mössbauer data, European Journal of Mineralogy 21, 233-240 ","hexagonal","287","Ca Na Fe^3+ Fe^2+ Mg Al Si O H C","Aer"
"Akatoreite","Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_","Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_","Mn Al Si O H","IMA1969-015","R060230","812","New Zealand","1969","Approved","Not in a structural group"," ","Read P B, Reay A (1971) Akatoreite, a new manganese silicate from eastern Otago, New Zealand, American Mineralogist 56, 416-426

Chemical formula revised:
Burns P C, Hawthorne F C (1993) Edge–sharing Mn<sup>2+</sup>O<sub>4</sub> tetrahedra in the structure of akatoreite, Mn<sup>2+</sup><sub>9</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>(OH)<sub>8</sub>, The Canadian Mineralogist 31, 321-329","triclinic","","Mn^2+ Al Si O H","Akt"
"Åkermanite","Ca_2_MgSi_2_O_7_","Ca_2_MgSi_2_O_7_","Ca Mg Si O","","R061085 R061100","814","Sweden","1884","Grandfathered|Approved","Melilite","melilite","Vogt I H L (1890) Die mineralien der melilithgruppe - nämlich gehlenit, melilith und ein neues tetragonales, nicht Al<sub>2</sub>O<sub>3</sub>-führendes (Ca,Mg)O-silikat (Åkermanit), nebst zwischengliedern, Archiv for Mathematik og Naturvidenskab 13, 310-402","tetragonal","4330","Ca Mg Si O","Åk"
"Aklimaite","Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O","Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O","Ca Si O H","IMA2011-050","","5978","Russia","2011","Approved","Not in a structural group"," ","Zadov A E, Pekov I V, Zubkova N V, Gazeev V M, Chukanov N V, Yapaskurt V O, Kartashov P M, Galuskin E V, Galuskina I O, Pertzev N N, Gurbanov A G, Pushcharovsky D Y (2012) Aklimaite, Ca<sub>4</sub>[Si<sub>2</sub>O<sub>5</sub>(OH<sub>2</sub>)](OH)<sub>4</sub>·5H<sub>2</sub>O, a new natural hydrosilicate from Lakargi area (the North Caucazus, Russia), Zapiski Rossiiskogo Mineralogicheskogo Obshchetstva 141(2), 21-31","monoclinic","3","Ca Si O H","Akm"
"Alacránite","As_8_S_9_","As_8_S_9_","As S","IMA1985-033","R140323 R150030","821","Russia","1985","Approved|Renamed","Not in a structural group"," ","Popova V I, Popov V A, Clark A H, Polyakov V O, Borisovskii S E (1986) Alacránite, As<sub>8</sub>S<sub>9</sub> – a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 115(3), 360-368

Chemical formula changed:
Burns P C, Percival J B (2001) Alacranite, As<sub>4</sub>S<sub>4</sub>: a new occurrence, new formula, and determination of the crystal structure, The Canadian Mineralogist 39, 809-818

Chemical formula changed again:
Bonazzi P, Bindi L, Popova V, Pratesi G, Menchetti S (2003) Alacranite, As<sub>8</sub>S<sub>9</sub>: structural study of the holotype and re-assignment of the original chemical formula, American Mineralogist 88, 1796-1800","monoclinic","443","As S","Acr"
"Albite","NaAlSi_3_O_8_","Na(AlSi_3_O_8_)","Na Al Si O","","R040068 R040129 R050253 R050402 R060054 R070268 R100169","824","Sweden","1815","Grandfathered|Approved","Feldspar","feldspar","Gahn J G, Berzelius J (1815) Underfökning af nagra i grannskapet af Fahlun funna Fossilier, Afhandlingar i Fysik, Kemi och Mineralogi 4, 148-216 (see page 180)","triclinic","4620","Na Al Si O","Ab"
"Allabogdanite","(Fe,Ni)_2_P","(Fe,Ni)_2_P","Fe Ni P","IMA2000-038","R070012","830","Russia (meteorite)","2000","Approved","Barringerite"," ","Britvin S N, Rudashevsky N S, Krivovichev S V, Burns P C, Polekhovsky Y S (2002) Allabogdanite, (Fe,Ni)<sub>2</sub>P, a new mineral from the Onello meteorite: The occurrence and crystal structure, American Mineralogist 87, 1245-1249","orthorhombic","","Fe Ni P","Abg"
